"Status","Name","Destination","Key"
"MOVED","ItsYourYear","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown\ItsYourYear","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown"
"MOVED","KidToons_FE_SM_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown\KidToons_FE_SM_BBHF","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown"
"MOVED","Kyle_Balmer_AI_Business_Playbook_Vault_SLENDERMAN_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown\Kyle_Balmer_AI_Business_Playbook_Vault_SLENDERMAN_BBHF","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown"
"MOVED","Matt_Serviuos_AI_Profit_Slender","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown\Matt_Serviuos_AI_Profit_Slender","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown"
"MOVED","MillionaireMindsetTheFinancialIQEmpowermentSeries_PLR","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown\MillionaireMindsetTheFinancialIQEmpowermentSeries_PLR","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown"
"MOVED","MoneyandCouplesPLR-NSP","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown\MoneyandCouplesPLR-NSP","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown"
"MOVED","Mystic_Journals_Planners_Bundle_SM_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown\Mystic_Journals_Planners_Bundle_SM_BBHF","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown"
"MOVED","Mystic_Planners_MRR_Collection_Bundle_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown\Mystic_Planners_MRR_Collection_Bundle_BBHF","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown"
"MOVED","New_Year_2025_Success_Mega_Pack_PLR_SLENDERMAN_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown\New_Year_2025_Success_Mega_Pack_PLR_SLENDERMAN_BBHF","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown"
"MOVED","Notion_For_Agencies_and_AgencyHQ_SLENDERMAN_BBHF","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown\Notion_For_Agencies_and_AgencyHQ_SLENDERMAN_BBHF","01_BUILD_PRODUCT\02_Product_Creation\digital_asset_creation\_misc_unknown"
