"archive","extension","size_gb","output_dir","status","deleted","exit_code","detail_log","message"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Zero_to_MVP_with_Nocode.zip",".zip","0.1355","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Zero_to_MVP_with_Nocode","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\032_Zero_to_MVP_with_Nocode.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\2020-PLR-License.zip",".zip","0.0001","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\2020-PLR-License","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\033_2020-PLR-License.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\30+Day+Content+Marketing+Plan-PLR.zip",".zip","0.5822","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\30+Day+Content+Marketing+Plan-PLR","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\034_30_Day_Content_Marketing_Plan-PLR.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\31-AMPT.zip",".zip","0.0813","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\31-AMPT","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\035_31-AMPT.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\51 Win Web Traffi Ide.zip",".zip","0.0029","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\51 Win Web Traffi Ide","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\036_51_Win_Web_Traffi_Ide.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\60PhotoshopActionScripts.zip",".zip","0.0015","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\60PhotoshopActionScripts","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\037_60PhotoshopActionScripts.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\7WAYS-PROFIT-BITCOIN.zip",".zip","0.0126","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\7WAYS-PROFIT-BITCOIN","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\038_7WAYS-PROFIT-BITCOIN.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Absolute Keto PLR.zip",".zip","0.1534","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Absolute Keto PLR","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\039_Absolute_Keto_PLR.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Abundance_Print_Big_Reset_SLENDERMAN_BBHF.zip",".zip","0.5528","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Abundance_Print_Big_Reset_SLENDERMAN_BBHF","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\040_Abundance_Print_Big_Reset_SLENDERMAN_BBHF.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\ACBI.zip",".zip","0.0862","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\ACBI","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\041_ACBI.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\acr.zip",".zip","0.1021","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\acr","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\042_acr.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Affiliate-TerminologyPLRpack.zip",".zip","0.0034","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Affiliate-TerminologyPLRpack","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\043_Affiliate-TerminologyPLRpack.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\ALL FE MODULES.zip",".zip","1.2364","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\ALL FE MODULES","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\044_ALL_FE_MODULES.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\All-Rights-Explained_MRRG.zip",".zip","0.0104","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\All-Rights-Explained_MRRG","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\045_All-Rights-Explained_MRRG.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Audience-Amplifier.zip",".zip","0.0025","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Audience-Amplifier","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\046_Audience-Amplifier.log","extracted successfully; archive deleted"
